,run,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34
340,470001590807_S68_L001,0,0,114,0,0,41,20,97,0,25,1,138,0,3,9,21,0,5,2,0,2,0,0,0,0,0,1,0,1,2,1,0,0,0,0
341,050000730101_S105_L002,201,337,156,506,28,14,28,176,0,45,2,40,0,14,12,20,2,2,1,4,0,0,0,0,1,1,3,3,12,3,2,0,0,3,1
342,330000100807_S67_L001,0,0,229,0,0,2,24,183,0,73,2,129,0,24,132,29,2,6,1,3,3,0,0,0,0,0,6,0,2,4,1,0,0,3,0
343,270000130807_S31_L001,0,0,159,0,0,2,35,159,1,83,0,208,0,15,31,18,11,4,3,5,0,0,0,0,0,0,7,0,11,6,3,2,2,3,0
344,540003110101_S159_L002,439,384,133,701,10,17,19,117,0,31,1,357,0,9,122,38,11,7,4,4,3,0,0,0,0,2,8,9,5,3,2,0,0,0,0
345,690000060101_S60_L001,374,423,203,694,36,28,22,268,0,36,1,61,0,29,110,54,5,27,3,7,2,1,0,0,0,18,10,8,17,3,2,0,1,1,1
346,460001130101_S150_L002,513,531,106,923,88,26,9,87,0,22,2,299,0,11,177,51,4,18,1,4,3,0,0,0,1,3,34,14,17,5,4,0,0,0,6
347,780002130101_S90_L001,285,285,160,568,35,16,28,352,0,50,0,189,0,7,52,4,9,3,1,3,0,0,0,0,0,0,7,4,13,4,0,0,0,2,0
348,260004220101_S11_L001,470,250,112,615,19,2,8,116,0,84,5,319,0,5,107,15,4,12,1,1,3,0,1,0,1,7,4,5,3,2,1,1,0,2,0
349,050000070101_S98_L002,758,595,159,764,106,16,37,113,0,43,2,211,0,4,141,35,2,3,2,9,4,0,1,0,0,11,9,12,8,4,3,1,2,1,0
350,260002880101_S4_L001,403,455,85,630,90,28,30,151,0,60,2,426,0,21,81,25,2,6,1,0,1,0,1,0,0,12,21,12,3,5,3,0,0,0,1
351,500001210807_S66_L001,0,0,9,0,0,1,6,21,0,60,1,44,0,1,7,8,0,0,0,0,0,1,0,0,0,0,3,0,6,0,1,0,0,0,0
352,330001390807_S154_L002,0,0,230,0,0,42,31,208,0,64,0,87,0,49,110,33,1,5,3,9,7,0,1,1,1,0,3,0,15,4,4,0,2,3,0
353,050000540101_S78_L001,533,731,106,688,61,7,31,165,1,59,2,190,9,19,47,33,5,14,3,11,5,0,0,0,0,5,13,2,17,8,1,1,0,2,1
354,050001090101_S72_L001,621,452,319,457,31,17,50,524,1,81,3,239,0,9,34,39,1,11,5,3,4,0,0,0,0,1,21,5,11,4,4,4,1,5,0
355,780005250101_S46_L001,175,228,4,284,20,0,0,0,0,48,0,43,0,2,53,11,1,1,3,0,0,0,0,0,0,6,0,6,7,1,0,0,0,0,1
356,690001010101_S62_L001,442,420,174,524,48,40,14,131,1,50,4,147,0,13,66,36,2,16,1,1,2,0,0,0,0,7,8,5,16,2,6,0,0,0,4
357,050001750101_S117_L002,281,380,97,627,16,3,15,31,0,92,2,388,0,3,32,40,4,5,2,0,0,0,0,0,0,2,6,10,12,3,3,0,0,0,0
358,540002630808_S7_L001,0,0,322,0,0,27,46,285,2,66,0,92,0,16,69,18,10,27,0,10,0,1,0,1,1,0,2,0,15,1,1,3,0,1,0
359,690001970808_S16_L001,0,0,114,0,0,14,2,86,0,46,0,144,0,24,45,17,1,7,1,0,0,2,0,1,0,0,8,0,7,4,2,0,0,0,0
360,330002030808_S165_L002,623,409,518,633,51,63,65,356,1,154,3,222,0,39,99,43,0,42,2,3,3,4,0,0,1,1,7,7,16,12,0,4,1,4,3
361,540001930808_S48_L001,0,0,243,0,0,43,11,298,0,52,0,98,0,44,91,26,3,27,1,15,4,0,0,1,0,0,6,0,5,6,4,2,0,1,0
362,280001890807_S143_L002,0,0,431,0,0,20,51,394,1,41,1,322,0,7,86,36,5,15,4,6,1,0,2,0,3,0,8,0,6,7,6,3,0,2,0
363,780005110101_S50_L001,120,117,202,376,35,3,34,171,0,13,0,155,0,17,48,29,1,2,2,6,0,0,0,0,2,5,6,5,11,4,4,0,0,3,1
364,500001620808_S63_L001,0,0,83,0,0,16,15,61,1,31,1,124,0,7,37,23,2,0,0,0,0,0,0,1,0,0,2,0,3,1,2,1,0,2,0
365,780003880101_S91_L001,329,252,20,502,25,1,1,0,0,63,2,151,0,33,70,32,1,2,1,0,0,0,0,1,2,0,4,2,10,2,0,0,0,0,0
366,050001310101_S113_L002,444,408,161,764,30,15,8,110,1,38,1,178,4,46,133,68,4,7,5,0,3,0,0,0,0,6,12,1,1,7,4,0,0,1,0
367,230002080807_S137_L002,0,25,259,0,0,55,34,129,0,49,7,217,0,33,78,54,11,11,3,3,2,0,1,0,0,0,12,0,7,7,1,0,2,6,0
368,270000150807_S39_L001,0,0,21,0,0,14,0,35,1,7,2,57,0,2,25,4,0,3,1,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0
369,230003110807_S21_L001,0,0,40,0,0,1,8,174,0,4,0,78,0,37,57,19,1,1,0,6,0,1,0,0,0,0,1,0,3,1,1,0,0,3,0
370,050002210101_S127_L002,504,511,161,567,26,40,17,111,0,49,1,227,0,39,158,32,0,8,0,5,2,0,2,0,2,7,5,8,9,6,0,0,1,0,7
371,330001850101_S131_L002,379,262,144,424,52,26,7,136,0,5,0,207,0,18,71,18,14,5,2,9,2,0,0,1,2,4,8,3,3,4,3,1,3,0,0
372,050002000101_S121_L002,336,347,147,407,9,28,14,119,0,85,4,224,4,15,27,27,1,8,0,3,4,0,0,1,0,0,7,11,20,4,5,0,0,1,3
373,330002700101_S173_L002,225,150,10,276,63,2,0,0,0,35,0,42,0,28,99,17,0,2,1,0,3,0,0,1,1,0,2,3,6,6,3,0,0,0,2
374,540002270101_S155_L002,534,411,424,957,50,26,52,242,2,89,3,87,0,19,135,44,2,15,2,3,2,2,0,2,1,2,8,10,16,12,7,4,1,1,1
375,440000940101_S71_L001,0,0,65,0,0,44,5,80,1,13,1,59,0,18,99,35,1,1,4,1,2,0,0,1,1,0,14,0,10,5,3,0,0,2,0
376,440003270101_S183_L002,226,205,57,273,25,2,0,85,1,71,1,55,0,29,84,41,1,12,1,0,0,0,0,3,1,0,7,14,9,4,2,0,0,0,2
377,440000850101_S179_L002,703,738,224,1129,49,18,27,376,1,104,3,297,0,21,41,90,12,18,3,8,6,1,0,1,0,5,21,11,29,11,10,0,1,7,4
378,210003270101_S66_L001,351,347,181,468,8,3,15,104,0,80,0,172,0,10,38,19,1,7,1,1,0,0,0,0,0,10,7,4,28,1,1,0,0,0,0
379,470001130807_S104_L002,0,0,74,0,0,27,14,76,2,18,1,85,0,17,63,24,1,6,1,0,0,0,0,0,0,0,0,0,4,3,1,2,0,1,0
380,540002380807_S103_L002,0,0,127,10,0,26,19,62,0,25,0,48,0,10,7,20,0,0,1,5,0,1,0,0,0,0,2,0,3,1,2,0,0,1,0
